,title,publication_date,cover_image
0,Artificial rejuvenation and voluntary change of sex : according to professor Steinach,1926,https://archive.org/services/img/artificialrejuve00ishl
1,Dare,1953,https://archive.org/services/img/dare17unse
2,"Venus Castina : famous female impersonators, celestial and human",1956,https://archive.org/services/img/venuscastinafamobull
3,Female mimics,1963,https://archive.org/services/img/femalemimics12unse
4,Female mimics,1963,https://archive.org/services/img/femalemimics13unse
5,Sex life of a transvestite,1964,https://archive.org/services/img/sexlifeoftransve00murd
6,Transvestism around the world,1964,https://archive.org/services/img/transvestismarou00unse
7,Female mimics,1965,https://archive.org/services/img/femalemimics15unse
8,Female mimics,1965,https://archive.org/services/img/femalemimics16unse
9,Female mimics,1965,https://archive.org/services/img/femalemimics17unse
10,Female mimics,1966,https://archive.org/services/img/femalemimics18unse
11,Female mimics,1967,https://archive.org/services/img/femalemimics19unse
12,Female mimics,1967,https://archive.org/services/img/femalemimics110unse
13,Female mimics,1968,https://archive.org/services/img/femalemimics112unse
14,Female mimics,1968,https://archive.org/services/img/femalemimics111unse
15,Female impersonator,1969,https://archive.org/services/img/femaleimpersonat02unse
16,The fifth sex : the forbidden world of the hermaphrodites,1969,https://archive.org/services/img/fifthsexforbidde00dyla
17,Female impersonator,1970,https://archive.org/services/img/femaleimpersonat03unse
18,Drag,1971,https://archive.org/services/img/drag11unse
19,Drag,1971,https://archive.org/services/img/drag14unse
20,Drag,1971,https://archive.org/services/img/drag12unse
21,Drag,1971,https://archive.org/services/img/drag13unse
22,Drag,1972,https://archive.org/services/img/drag00leeg_0
23,Drag,1972,https://archive.org/services/img/drag00leeg
24,Drag,1972,https://archive.org/services/img/drag28unse
25,Drag,1972,https://archive.org/services/img/drag26unse
26,Drag,1972,https://archive.org/services/img/drag27unse
27,"Behold, I am a woman",1972,https://archive.org/services/img/beholdiamwoman00dian
28,Drag,1973,https://archive.org/services/img/drag39unse
29,Drag,1973,https://archive.org/services/img/drag311unse
30,Drag,1973,https://archive.org/services/img/drag413unse
31,Drag,1973,https://archive.org/services/img/drag312unse
32,The transvestite: the magazine for and about transvestism,1973,https://archive.org/services/img/transvestitemaga439unse
33,Drag,1973,https://archive.org/services/img/drag310unse
34,Drag,1974,https://archive.org/services/img/drag415unse
35,Lee G. Brewster : Mardi Gras ball,1974,https://archive.org/services/img/leegbrewstermard00unse
36,Drag,1974,https://archive.org/services/img/drag416unse
37,Drag,1974,https://archive.org/services/img/drag414unse
38,The female impersonator,1975,https://archive.org/services/img/femaleimpersonat58unse
39,Drag,1975,https://archive.org/services/img/drag520unse
40,Drag,1975,https://archive.org/services/img/drag519unse
41,Female mimics,1975,https://archive.org/services/img/femalemimics62unse
42,Drag,1975,https://archive.org/services/img/drag518unse
43,Drag : special supplement,1975,https://archive.org/services/img/dragspecialsuppl00unse
44,Drag,1975,https://archive.org/services/img/drag517unse
45,Drag,1976,https://archive.org/services/img/drag622unse
46,Drag,1976,https://archive.org/services/img/drag621unse
47,Drag,1976,https://archive.org/services/img/drag623unse
48,Drag,1976,https://archive.org/services/img/drag624unse
49,Female mimics,1976,https://archive.org/services/img/femalemimics71unse
50,Drag,1977,https://archive.org/services/img/drag725unse
51,Drag,1978,https://archive.org/services/img/drag726unse
52,The TV-TS tapestry,1979,https://archive.org/services/img/tvtstapestry1711unse
53,The TV-TS tapestry,1979,https://archive.org/services/img/tvtstapestry1831unse
54,Female mimics,1979,https://archive.org/services/img/femalemimics51unse
55,The TV-TS tapestry,1979,https://archive.org/services/img/tvtstapestry1461unse
56,The TV-TS tapestry,1979,https://archive.org/services/img/tvtstapestry1241unse
57,The TV-TS tapestry,1979,https://archive.org/services/img/tvtstapestry1611unse
58,The TV-TS tapestry,1979,https://archive.org/services/img/tvtstapestry1531unse
59,The TV-TS tapestry,1979,https://archive.org/services/img/tvtstapestry9101lynn
60,Tiffany club membership listings,1979,https://archive.org/services/img/tiffanyclubmembe2319unse
